dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao
premioconservacaoenergia.gov.br   ;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA                 ;RJ;Rio de Janeiro     ;20071-003;24/03/2009 20:07;15/04/2013 21:36
bancocentral.gov.br               ;000.038.166/0001-05;Banco Central do Brasil                           ;DF;Brasília           ;70074-900;31/12/1998 00:24;17/06/2015 22:20
selic.gov.br                      ;000.038.166/0010-98;Banco Central do Brasil                           ;RJ;Rio de Janeiro     ;20071-001;28/07/2010 12:18;30/03/2011 02:25
museudoindio.gov.br               ;000.059.311/0002-07;Museu do Índio - Fundação Nacional do Índio       ;RJ;Rio de Janeiro     ;22270-070;23/10/2003 16:28;11/05/2016 12:47
cprm-ma.gov.br                    ;000.091.652/0004-21;Companhia de Pesquisa de Recursos Minerais CPRM   ;AM;Manaus             ;69060-001;23/01/2001 12:07;30/12/2002 14:57
cprmbh.gov.br                     ;000.091.652/0010-70;Companhia de Pesquisa de Recursos Minerais - CPRM ;MG;Belo Horizonte     ;30140-002;17/11/2000 14:03;06/08/2003 21:07
eafrs.gov.br                      ;000.147.606/0001-54;Escola Agrotécnica Federal de Rio do Sul          ;SC;Rio do Sul         ;89160-000;29/05/2002 12:29;13/10/2011 21:38
embrapa.gov.br                    ;000.348.003/0101-83;Empresa Brasileira de Pesquisa Agropecuaria       ;RR;Boa Vista          ;69301-970;09/06/2000 20:26;22/08/2003 10:38
aeroshopping.gov.br               ;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA  ;DF;Brasília           ;70300-500;29/01/2002 18:45;09/01/2013 11:34
amazonasenergia.gov.br            ;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil             ;DF;Brasilia           ;70718-900;28/09/2001 20:14;16/10/2015 20:59
coegv.gov.br                      ;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil             ;DF;Brasilia           ;70718-900;12/11/1998 19:22;08/05/2008 14:13
redefloresta.gov.br               ;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil             ;DF;Brasilia           ;70718-900;05/03/2004 12:48;12/05/2010 11:22
caixaeconomica.gov.br             ;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70070-140;20/08/1997 12:00;16/07/2015 19:03
caixapostal.gov.br                ;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70070-140;23/11/1999 16:04;16/07/2015 19:40
postal.gov.br                     ;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70070-140;23/11/1999 16:04;16/07/2015 21:27
cartelafederal.gov.br             ;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;02/05/2000 13:26;16/07/2015 19:54
supercaminhaodasorte.gov.br       ;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;02/05/2000 13:26;16/07/2015 21:35
caixavirtual.gov.br               ;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;04/08/2000 21:17;16/07/2015 19:43
mega-sena.gov.br                  ;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;04/08/2000 21:17;16/07/2015 21:23
caixaresolve.gov.br               ;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;04/08/2000 20:46;16/07/2015 19:41
guiafacilgps.gov.br               ;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;04/08/2000 21:17;16/07/2015 21:06
lojacaixa.gov.br                  ;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;19/10/2004 18:53;16/07/2015 21:19
shoppingcaixa.gov.br              ;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;19/10/2004 18:53;16/07/2015 21:35
trinka.gov.br                     ;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;02/05/2000 13:26;16/07/2015 21:41
dinheiroaqui.gov.br               ;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;04/08/2000 21:17;16/07/2015 20:49
loteriascaixa.gov.br              ;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;04/08/2000 21:17;16/07/2015 21:21
caixainveste.gov.br               ;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;25/10/2001 19:55;16/07/2015 19:34
ecobrancacaixa.gov.br             ;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL                           ;DF;Brasília           ;70750-544;01/04/2002 18:33;18/12/2002 15:54
incra.gov.br                      ;000.375.972/0002-41;INCRA/INSTITUTO NACIONAL DE COLON E REF. AGRARIA  ;DF;Brasilia           ;70040-903;12/07/1996 12:00;21/09/2004 18:21
dnpm.gov.br                       ;000.381.056/0001-33;Departamento Nacional de Producao Mineral         ;DF;Brasília           ;70040-200;02/04/1997 12:00;04/02/2015 17:05
bndespar.gov.br                   ;000.383.281/0001-09;BNDES Participações S/A                           ;RJ;Rio de Janeiro     ;20031-917;17/05/2006 17:29;11/11/2014 20:48
brazilgovnews.gov.br              ;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA                          ;DF;Brasília           ;70150-900;25/07/2016 13:15;25/07/2016 13:15
confiancanobrasil.gov.br          ;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA                          ;DF;Brasília           ;70150-900;26/12/2008 12:22;26/12/2008 12:22
govbrasil.gov.br                  ;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA                          ;DF;Brasília           ;70150-900;26/08/2013 12:54;26/08/2013 12:54
observatoriodegenero.gov.br       ;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA                          ;DF;Brasília           ;70150-900;22/01/2009 10:18;22/01/2009 10:18
presidenciadarepublica.gov.br     ;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA                          ;DF;Brasília           ;70150-900;11/05/2000 21:20;29/03/2006 18:27
splp.gov.br                       ;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA                          ;DF;Brasília           ;70150-900;16/07/2007 13:37;16/07/2007 13:37
